date,product,region,revenue,units_sold,customer_age,satisfaction_score,return_rate,marketing_spend,channel
2025-01-01,Aura Pro,Europe,2468.52,17,28,4.7,0.02,182.61,Organic
2025-01-02,Aura Enterprise,Asia Pacific,2443.54,5,59,4.2,0.041,159.17,Direct
2025-01-03,Aura Basic,North America,5885.74,90,51,4.6,0.044,836.20,Partner
2025-01-04,Aura Enterprise,Europe,531.98,1,47,4.7,0.044,37.42,Partner
2025-01-05,Aura Basic,Asia Pacific,1598.34,31,53,3.9,0.040999999999999995,197.31,Organic
2025-01-06,Nexus Add-on,Europe,1352.44,54,27,3.6,0.044,137.09,Paid Search
2025-01-07,Aura Basic,Latin America,524.19,11,42,4.2,0.065,51.91,Organic
2025-01-08,Nexus Add-on,North America,1237.75,41,23,3.9,0.046,166.75,Partner
2025-01-09,Nexus Add-on,North America,2973.61,98,,4.4,,174.49,Organic
2025-01-10,Aura Basic,North America,2886.65,47,,5.0,0.046,181.64,Organic
2025-01-11,Aura Pro,North America,3208.41,17,45,3.9,0.038,303.93,Partner
2025-01-12,Aura Basic,North America,4298.62,66,43,3.6,0.055,626.38,Partner
2025-01-13,Aura Pro,Asia Pacific,12456.92,80,,4.5,0.016,1189.93,Paid Search
2025-01-14,Nexus Add-on,Latin America,2171.91,80,38,4.5,0.03,154.45,Paid Search
2025-01-15,Aura Enterprise,Europe,465.74,1,35,3.7,0.036,34.43,Direct
2025-01-16,Nexus Add-on,Europe,1692.30,66,22,3.8,0.046,182.97,Direct
2025-01-17,Nexus Add-on,Europe,2094.38,81,18,3.6,0.035,195.24,Organic
2025-01-18,Aura Enterprise,Europe,4906.69,9,47,3.8,0.049,293.07,Organic
2025-01-19,Aura Enterprise,North America,6356.68,10,51,4.3,,495.56,Organic
2025-01-20,Aura Enterprise,Latin America,4583.78,9,28,4.1,0.02,286.55,Partner
2025-01-21,Aura Pro,Europe,13268.75,90,54,4.8,0.016,1337.82,Partner
2025-01-22,Aura Basic,Europe,2437.44,43,25,3.7,0.044,305.12,Paid Search
2025-01-23,Aura Enterprise,Latin America,486.56,1,21,4.6,0.026,42.59,Direct
2025-01-24,Aura Pro,Latin America,11933.12,85,20,4.3,0.019,1396.18,Direct
