order_id,customer_id,country,city,category,product_name,quantity,unit_price_usd,total_usd,payment_method,delivery_days,rating,is_returned
ORD-0001,CUST-1142,Saudi Arabia,Riyadh,Electronics,Smartphone X12,1,899.00,899.00,Credit Card,3,5,False
ORD-0002,CUST-2381,UAE,Dubai,Fashion,Abaya Embroidered,2,120.00,240.00,Apple Pay,2,4,False
ORD-0003,CUST-0872,Egypt,Cairo,Home & Kitchen,Coffee Machine,1,185.50,185.50,Cash on Delivery,5,3,False
ORD-0004,CUST-3290,Morocco,Casablanca,Electronics,Tablet 10in,1,399.99,399.99,Credit Card,4,4,False
ORD-0005,CUST-1142,Saudi Arabia,Riyadh,Beauty,Oud Perfume Set,3,65.00,195.00,Credit Card,2,5,False
ORD-0006,CUST-4501,Jordan,Amman,Books,Arabic Literature Vol 1-5,1,78.00,78.00,Cash on Delivery,6,5,False
ORD-0007,CUST-2381,UAE,Dubai,Electronics,Smartwatch Pro,1,299.00,299.00,Apple Pay,1,4,False
ORD-0008,CUST-5612,Kuwait,Kuwait City,Home & Kitchen,Air Fryer XL,1,129.99,129.99,Credit Card,3,4,False
ORD-0009,CUST-0872,Egypt,Cairo,Fashion,Men Jalabiya,4,35.00,140.00,Cash on Delivery,7,3,True
ORD-0010,CUST-6823,Qatar,Doha,Electronics,Laptop Ultra 14,1,1249.00,1249.00,Credit Card,2,5,False
ORD-0011,CUST-1534,Bahrain,Manama,Beauty,Skincare Bundle,2,89.50,179.00,Credit Card,3,4,False
ORD-0012,CUST-3290,Morocco,Rabat,Sports,Running Shoes,1,95.00,95.00,Credit Card,5,4,False
ORD-0013,CUST-7934,Oman,Muscat,Home & Kitchen,Smart Vacuum Robot,1,349.00,349.00,Credit Card,3,5,False
ORD-0014,CUST-4501,Jordan,Irbid,Electronics,Wireless Earbuds,2,79.99,159.98,Cash on Delivery,8,3,False
ORD-0015,CUST-2381,UAE,Abu Dhabi,Fashion,Designer Sneakers,1,185.00,185.00,Apple Pay,1,5,False
ORD-0016,CUST-8045,Lebanon,Beirut,Books,Self Help Arabic,3,22.00,66.00,Cash on Delivery,10,4,False
ORD-0017,CUST-1142,Saudi Arabia,Jeddah,Sports,Yoga Mat Premium,2,45.00,90.00,Credit Card,3,4,False
ORD-0018,CUST-5612,Kuwait,Hawalli,Electronics,Smart TV 55in,1,699.00,699.00,Credit Card,5,5,False
ORD-0019,CUST-6823,Qatar,Al Wakrah,Beauty,Argan Oil Hair Set,1,55.00,55.00,Credit Card,2,5,False
ORD-0020,CUST-0872,Egypt,Alexandria,Home & Kitchen,Blender Pro,1,75.50,75.50,Cash on Delivery,6,3,True
ORD-0021,CUST-9156,Tunisia,Tunis,Fashion,Summer Dress Collection,3,48.00,144.00,Credit Card,4,4,False
ORD-0022,CUST-3290,Morocco,Marrakech,Sports,Bicycle Mountain,1,420.00,420.00,Credit Card,7,5,False
ORD-0023,CUST-7934,Oman,Salalah,Electronics,Smartphone X12,1,899.00,899.00,Credit Card,4,4,False
ORD-0024,CUST-1534,Bahrain,Riffa,Books,Business Arabic,2,35.00,70.00,Credit Card,3,5,False
